geometry,series,coating,arm,t,centroid_mag,d90_mag,nav_index
colour,PEG_L1,PEG,large,0.0,1.203459500044593,2.463739261062408,0.13348798277720678
colour,PEG_L2,PEG,large,0.0,1.1377767465546866,2.5872033461753334,0.34480636577038704
colour,PEG_S1,PEG,small,0.0,0.9810008815970027,1.86120140357059,-0.3688225116168043
colour,PEG_S2,PEG,small,0.0,1.1717384815281457,2.6383641281438814,0.3477180625701095
colour,COOH_L1,COOH,large,0.0,0.9130349057680726,2.0053794680670847,-0.12672172627926548
colour,COOH_L2,COOH,large,0.0,0.8365630109868106,1.7749194654125142,-0.5026744164430301
colour,COOH_S1,COOH,small,0.0,0.6577448711777167,1.5030120565340426,-0.2834694398755996
colour,COOH_S2,COOH,small,0.0,1.054317151068742,2.2711518181877546,-0.5771657108273288
colour,PEG_L1,PEG,large,0.0,1.4778393512284473,3.166845097370153,0.3038163135199837
colour,PEG_L2,PEG,large,0.0,1.5437027025855021,3.366367132550593,0.4703475940910845
colour,PEG_S1,PEG,small,0.0,0.8796872337484448,1.8752706592653314,-0.004581128922722913
colour,PEG_S2,PEG,small,0.0,1.4141701592955518,3.0774910620059877,0.3170402893041537
colour,COOH_L1,COOH,large,0.0,1.1447341371391047,2.8803845748434944,0.41063226907810824
colour,COOH_L2,COOH,large,0.0,1.0267834078278657,2.42202394005848,0.2345864419692972
colour,COOH_S1,COOH,small,0.0,0.8044536133511685,1.690215304319608,0.38540732658006477
colour,COOH_S2,COOH,small,0.0,1.0304127655160582,2.178450898523252,0.19685935581771627
colour,PEG_L3,PEG,large,0.0,0.8964995343323079,1.8552461104145477,-0.6812424866311255
colour,PEG_S3,PEG,small,0.0,0.9898687690420758,1.9775140033819492,0.19353374523509465
colour,COOH_L3,COOH,large,0.0,1.0621805358350886,2.1149125450892106,-0.1945135026280773
colour,COOH_S3,COOH,small,0.0,1.0493846811094252,2.1522171494978006,0.08553426799994363
colour,PEG_control,PEG,control,0.0,1.3987647297907215,2.8095792096415395,0.18242098211549976
colour,COOH_control,COOH,control,0.0,0.9595107118804704,2.060523830395626,-0.059177307055647464
colour,PEG_L3,PEG,large,0.0,1.491770237649567,3.0620189629431565,0.5793022013132478
colour,PEG_S3,PEG,small,0.0,0.994152603308767,2.058627691133272,0.22956524363213052
colour,COOH_L3,COOH,large,0.0,1.4654727340836837,2.993399039937337,0.3726228646004777
colour,COOH_S3,COOH,small,0.0,1.0615229884363755,2.230323980678278,0.1764622184557338
colour,PEG_control,PEG,control,0.0,1.2825211680060942,2.6495381353681644,0.07946243776251101
colour,COOH_control,COOH,control,0.0,0.863978101976536,1.987959203323155,0.026686311043253433
colour,PEG_L1,PEG,large,0.5,1.4268761397361451,3.392795320197045,0.6564455672725855
colour,PEG_L2,PEG,large,0.5,1.119915079786525,3.003169089517981,0.815779545501364
colour,PEG_S1,PEG,small,0.5,0.8001021888898625,1.9231841464438664,0.13846753806774906
colour,PEG_S2,PEG,small,0.5,1.16227552683466,2.926458601089385,0.5528687512966667
colour,COOH_L1,COOH,large,0.5,1.12427056470474,2.608429476944419,0.19169769509617113
colour,COOH_L2,COOH,large,0.5,1.0210827770539772,2.6737600998489133,0.6470154236183981
colour,COOH_S1,COOH,small,0.5,0.5091644624990016,1.3927990988319416,-0.36193729113594686
colour,COOH_S2,COOH,small,0.5,0.7560717551134438,2.0814556670544895,0.7706236670611489
colour,PEG_L3,PEG,large,0.5,1.5098383748987838,3.106570333113457,0.6737890389831648
colour,PEG_S3,PEG,small,0.5,0.9793252153627714,2.103774297685281,0.15768544068125975
colour,COOH_L3,COOH,large,0.5,1.2358026717048567,2.9214338272989915,0.7319489945414996
colour,COOH_S3,COOH,small,0.5,0.9055718328261798,2.1784419654665466,0.3685837593494786
colour,PEG_control,PEG,control,0.5,1.113157753338661,2.4665700077385773,0.11381176887936284
colour,COOH_control,COOH,control,0.5,0.7737205842698571,1.9159297678592204,0.17282708632087954
colour,PEG_L1,PEG,large,1.0,1.3283355548983193,3.2343084546925573,0.7923802303908536
colour,PEG_L2,PEG,large,1.0,1.2622027572442949,2.9744539694853898,0.8761256693867421
colour,PEG_S1,PEG,small,1.0,0.6665800690281174,1.7025961655879842,0.671667429459548
colour,PEG_S2,PEG,small,1.0,1.4529565668782591,3.241468495066675,0.34820364291180167
colour,COOH_L1,COOH,large,1.0,1.2172232538387848,3.0481460327385252,0.7382358438957117
colour,COOH_L2,COOH,large,1.0,1.1053820700080315,2.656077590144094,0.7166839278415246
colour,COOH_S1,COOH,small,1.0,0.6159393248678042,1.797045620058261,-0.34612887384406427
colour,COOH_S2,COOH,small,1.0,0.8563768735383892,2.1837578357500167,0.7914933932914398
colour,PEG_L3,PEG,large,1.0,1.3765346442619921,3.0308389199255124,0.7606667188667421
colour,PEG_S3,PEG,small,1.0,0.9020775335287713,2.1249754607772537,0.3712086857839864
colour,COOH_L3,COOH,large,1.0,1.1521438064953997,2.731469689778823,0.8660129703712032
colour,COOH_S3,COOH,small,1.0,0.8324734089892303,2.068642195109983,0.4809616608626265
colour,PEG_control,PEG,control,1.0,1.1104672593614675,2.428772139959602,0.10274962214655081
colour,COOH_control,COOH,control,1.0,0.9006573095134236,1.8742509663119362,-0.30845242398425954
colour,PEG_L1,PEG,large,1.5,1.443495489731754,3.264212092200301,0.8178779873949011
colour,PEG_L2,PEG,large,1.5,1.4332471826086848,3.1353334619375786,0.859844914511803
colour,PEG_S1,PEG,small,1.5,0.806110803772395,1.9583233320428446,0.5641697839255273
colour,PEG_S2,PEG,small,1.5,1.398899454933445,3.2288160016494647,0.4289795103453372
colour,COOH_L1,COOH,large,1.5,1.1362632315685288,2.612933439542851,0.6787369035365498
colour,COOH_L2,COOH,large,1.5,1.2522490876773187,2.7037629678771626,0.8022299225565486
colour,COOH_S1,COOH,small,1.5,0.758022018885202,2.120191465779995,0.02141547526596079
colour,COOH_S2,COOH,small,1.5,0.9870736950651979,2.4454633109463995,0.779048774073373
colour,PEG_L3,PEG,large,1.5,1.382817323468874,2.994027890446943,0.8290096413391052
colour,PEG_S3,PEG,small,1.5,0.9111119969596067,2.178104911106203,0.3755216515535388
colour,COOH_L3,COOH,large,1.5,1.2968871443240473,2.7511406293571294,0.8926024329882104
colour,COOH_S3,COOH,small,1.5,0.8745195085168108,2.0951273868074645,0.4034437309890481
colour,PEG_control,PEG,control,1.5,1.1214195073983337,2.4223734559796943,0.05049572257478272
colour,COOH_control,COOH,control,1.5,0.8880027258098482,1.9331577562821594,-0.19129315008560377
colour,PEG_L1,PEG,large,2.0,1.5534817688926874,3.2352341203959916,0.8596187965053987
colour,PEG_L2,PEG,large,2.0,1.553988783737702,3.2686087666245416,0.8805586466035918
colour,PEG_S1,PEG,small,2.0,0.9943769645847933,2.5549380687721412,0.5893708561245609
colour,PEG_S2,PEG,small,2.0,1.45116715412684,3.316970355182672,0.5738834882829442
colour,COOH_L1,COOH,large,2.0,1.417571850272852,3.1406245410608675,0.8051234005965526
colour,COOH_L2,COOH,large,2.0,1.4509913832286196,3.0355340598687737,0.759537158170595
colour,COOH_S1,COOH,small,2.0,0.8938385094316365,2.1048286338245785,0.31001611137198737
colour,COOH_S2,COOH,small,2.0,1.009909257578013,2.680697671253386,0.7358590492081326
colour,PEG_L3,PEG,large,2.0,1.4722101528656217,3.0245654325997804,0.8294416987239578
colour,PEG_S3,PEG,small,2.0,0.8880904096335704,2.1621884316181275,0.40516931407357903
colour,COOH_L3,COOH,large,2.0,1.454885900195923,2.893606810878054,0.9242318644699432
colour,COOH_S3,COOH,small,2.0,0.7997242306323857,1.9319934174453741,0.4993968722468152
colour,PEG_control,PEG,control,2.0,1.0300716801095502,2.328870832713714,0.11359340886750649
colour,COOH_control,COOH,control,2.0,0.733073873943633,1.8570220475513564,0.15288713996530384
colour,PEG_L1,PEG,large,2.5,1.3582255492364688,2.656642644961707,0.8140762585300328
colour,PEG_L2,PEG,large,2.5,1.6998626891946815,3.4044314654850054,0.8894927616746243
colour,PEG_S1,PEG,small,2.5,1.0800979555755872,2.7120215814425594,0.6112883575053257
colour,PEG_S2,PEG,small,2.5,1.4305544854058816,3.270207648560424,0.688265692847495
colour,COOH_L1,COOH,large,2.5,1.5933241290303726,3.2044345253973057,0.8007801729293766
colour,COOH_L2,COOH,large,2.5,1.5524234878801622,3.2038321283371562,0.3490219687321638
colour,COOH_S1,COOH,small,2.5,0.9602384065346934,2.2849817580663556,0.27077992222967895
colour,COOH_S2,COOH,small,2.5,1.0841745116985873,2.79684655456041,0.7300131717913683
colour,PEG_L3,PEG,large,2.5,1.5636312162202306,3.074829587473072,0.8823808589416491
colour,PEG_S3,PEG,small,2.5,0.919987650834268,2.1190520730861655,0.26253431203988986
colour,COOH_L3,COOH,large,2.5,1.5273941417477357,2.9824620303443665,0.9381390278245915
colour,COOH_S3,COOH,small,2.5,0.7589134399473704,1.8264675600864166,0.46888345761846295
colour,PEG_control,PEG,control,2.5,1.0292901699647394,2.30186615474814,0.02955945946800461
colour,COOH_control,COOH,control,2.5,0.9078717139910032,1.9173325891809163,-0.3092036374742485
colour,PEG_L1,PEG,large,3.0,1.7526822209030528,3.419328345744712,0.8886139342206564
colour,PEG_L2,PEG,large,3.0,1.7479735036938537,3.4727667545908174,0.8914911867370422
colour,PEG_S1,PEG,small,3.0,1.1022221794365883,2.6692535759550973,0.6522710849176276
colour,PEG_S2,PEG,small,3.0,1.4537040502513114,3.2929634386727127,0.6544341630691426
colour,COOH_L1,COOH,large,3.0,1.3427889313482755,2.5981145375084447,0.6981257403350093
colour,COOH_L2,COOH,large,3.0,1.6407059459710212,3.1828690390145638,0.766528800329809
colour,COOH_S1,COOH,small,3.0,0.9682715375519386,2.28808824740005,0.2908341026468671
colour,COOH_S2,COOH,small,3.0,1.1169302952447087,2.7650691327041583,0.7613027864537691
colour,PEG_L3,PEG,large,3.0,1.6294204896948845,3.1355547759066207,0.8803129981004628
colour,PEG_S3,PEG,small,3.0,0.813135336734407,2.0079278126039295,0.5399197249032338
colour,COOH_L3,COOH,large,3.0,1.5789981839608014,3.0524350318259867,0.9352891280247697
colour,COOH_S3,COOH,small,3.0,0.8034530568028583,1.8621473565116353,0.5133387988424811
colour,PEG_control,PEG,control,3.0,0.9716529488614781,2.2208220884650824,-0.008879269778163069
colour,COOH_control,COOH,control,3.0,0.8918223330453495,1.9178822204557502,-0.34028616855418997
colour,PEG_L1,PEG,large,3.5,1.8348025023028072,3.486310251844971,0.8894515380557952
colour,PEG_L2,PEG,large,3.5,1.7991955488121547,3.51932917858179,0.8903743641732333
colour,PEG_S1,PEG,small,3.5,1.135714424453064,2.6580144922136957,0.6508544100223457
colour,PEG_S2,PEG,small,3.5,1.3915509920756115,3.209852363963498,0.7716179114849027
colour,COOH_L1,COOH,large,3.5,1.7399758905821048,3.2635360659002273,0.864924140582827
colour,COOH_L2,COOH,large,3.5,1.709918377626486,3.25419252844796,0.7954333514353098
colour,COOH_S1,COOH,small,3.5,1.0046258914261075,2.249584779752739,0.48964469837412733
colour,COOH_S2,COOH,small,3.5,1.196330468733256,2.4826329783850496,0.8728540963503141
colour,PEG_L3,PEG,large,3.5,1.673309723527734,3.199432867333353,0.8392620094099622
colour,PEG_S3,PEG,small,3.5,0.9020454163660759,2.05112570848786,0.3552574699836953
colour,COOH_L3,COOH,large,3.5,1.6399505728515817,3.10665322029263,0.9106399328312024
colour,COOH_S3,COOH,small,3.5,0.8099355349225301,1.801678471164609,0.5684687199511409
colour,PEG_control,PEG,control,3.5,0.975129439657652,2.171361747425741,-0.11866149180343247
colour,COOH_control,COOH,control,3.5,0.8125722928519817,1.8387065164422205,-0.20868694956271142
colour,PEG_L1,PEG,large,4.0,1.8640516295080656,3.5066270565606312,0.8964284133837883
colour,PEG_L2,PEG,large,4.0,1.8548541317750453,3.552521235349829,0.8846162403410739
colour,PEG_S1,PEG,small,4.0,1.2555620523615607,2.7406235658237916,0.8820102826437707
colour,PEG_S2,PEG,small,4.0,1.4760901973768237,3.273000896179327,0.7294372722376858
colour,COOH_L1,COOH,large,4.0,1.4227416613319261,2.6802406532678837,0.7449778037802305
colour,COOH_L2,COOH,large,4.0,1.7560800854781466,3.274159580263623,0.666028509158095
colour,COOH_S1,COOH,small,4.0,1.0246345571337352,2.2337057053950855,0.5259074202591014
colour,COOH_S2,COOH,small,4.0,1.2549594296188982,2.7038073103345286,0.7205203859037681
colour,PEG_L3,PEG,large,4.0,1.6814333556221774,3.1954651910995495,0.9040626014875889
colour,PEG_S3,PEG,small,4.0,0.8514957581656044,1.9976628744500975,0.5689303141930901
colour,COOH_L3,COOH,large,4.0,1.5898395655049005,3.0937728265887765,0.9366691411556964
colour,COOH_S3,COOH,small,4.0,0.8159519972510832,1.754985576282075,0.6564403855367534
colour,PEG_control,PEG,control,4.0,0.9655098440851455,2.1575172569760332,-0.1049162235907805
colour,COOH_control,COOH,control,4.0,0.6857183688881974,1.7457545605306803,-0.009330887364865637
colour,PEG_L1,PEG,large,4.5,2.004726566028767,3.566342357306088,0.7551364362162587
colour,PEG_L2,PEG,large,4.5,1.8769490598788139,3.5668628238846685,0.8750346847678753
colour,PEG_S1,PEG,small,4.5,1.3018144739529318,2.9035332347447076,0.8033837460288275
colour,PEG_S2,PEG,small,4.5,1.5522494910783935,3.359031169523133,0.6248178699677616
colour,COOH_L1,COOH,large,4.5,1.7466726667138255,3.326501070355276,0.8401790302733146
colour,COOH_L2,COOH,large,4.5,1.6868319456299705,3.264296356112064,0.8114355089954173
colour,COOH_S1,COOH,small,4.5,1.0663152317691178,2.3151870407046444,0.4780308045753203
colour,COOH_S2,COOH,small,4.5,1.2830497949506336,2.835573443634612,0.7912940559330818
colour,PEG_L3,PEG,large,4.5,1.6727815759747688,3.19693049240054,0.9107325785671855
colour,PEG_S3,PEG,small,4.5,0.8499172238755547,1.969120225219376,0.6688378266655679
colour,COOH_L3,COOH,large,4.5,1.5584733607158379,3.083831114769958,0.9314274961819465
colour,COOH_S3,COOH,small,4.5,0.8664224431277587,1.8491361236943584,0.7554976693063695
colour,PEG_control,PEG,control,4.5,0.8351227775088482,2.0385995547329743,0.06520239585292967
colour,COOH_control,COOH,control,4.5,0.8294578452787996,1.9040275562965114,-0.13143323488048023
colour,PEG_L1,PEG,large,5.0,2.0743149772771194,3.594574567735726,0.7417720351956176
colour,PEG_L2,PEG,large,5.0,1.9085777557996628,3.5890519542310733,0.8932731905640485
colour,PEG_S1,PEG,small,5.0,1.157063765046856,2.738903373696368,0.6953717963913484
colour,PEG_S2,PEG,small,5.0,1.543837448317633,3.3527505366333052,0.6502942629686403
colour,COOH_L1,COOH,large,5.0,1.7790966296349067,3.334874429989271,0.8393404006948001
colour,COOH_L2,COOH,large,5.0,1.7162099828961697,3.290271977280613,0.7789133562000456
colour,COOH_S1,COOH,small,5.0,1.1306528516112144,2.4276164104882465,0.46492090591552365
colour,COOH_S2,COOH,small,5.0,1.3358798744636997,2.8959098195539923,0.7807157158316756
colour,PEG_L3,PEG,large,5.0,1.7017984833632052,3.221856315013515,0.8737801062897641
colour,COOH_L3,COOH,large,5.0,1.5814962975409828,3.1020639544094553,0.9212052256973932
colour,COOH_S3,COOH,small,5.0,1.1128081649214763,2.58168280728496,0.8275066907511591
