idx,path,status,n_red_boxes
77,0.4 BACK/BSA /5 hrs/PXL_20260827_161508070.jpg,ok,14
78,0.4 BACK/BSA /6 hrs/PXL_20260827_170007538.jpg,ok,8
79,0.4 BACK/BSA /6 hrs/PXL_20260827_170018323.jpg,ok,8
80,0.4 BACK/BSA /6 hrs/PXL_20260827_170030841.jpg,ok,7
81,0.4 BACK/BSA /6 hrs/PXL_20260827_170107004.jpg,ok,8
82,0.4 BACK/BSA /6 hrs/PXL_20260827_170125897.jpg,ok,9
83,0.4 BACK/BSA /6 hrs/PXL_20260827_170145687.jpg,ok,10
84,0.4 BACK/BSA /6 hrs/PXL_20260827_170935647.jpg,ok,15
85,0.4 BACK/BSA /6 hrs/PXL_20260827_170948030.jpg,ok,8
86,0.4 BACK/BSA /6 hrs/PXL_20260827_171001972.jpg,ok,11
87,0.4 BACK/BSA /6 hrs/PXL_20260827_171142647.jpg,ok,12
88,0.4 BACK/BSA /6 hrs/PXL_20260827_171208934.jpg,ok,11
89,0.4 BACK/BSA /6 hrs/PXL_20260827_171225691.jpg,ok,9
90,0.4 BACK/BSA /7.5 hrs/PXL_20260827_183335799.jpg,ok,6
91,0.4 BACK/BSA /7.5 hrs/PXL_20260827_183350966.jpg,ok,6
92,0.4 BACK/BSA /7.5 hrs/PXL_20260827_183407031.jpg,ok,5
93,0.4 BACK/BSA /7.5 hrs/PXL_20260827_183425721.jpg,ok,9
94,0.4 BACK/BSA /7.5 hrs/PXL_20260827_183440589.jpg,ok,9
95,0.4 BACK/BSA /7.5 hrs/PXL_20260827_183456913.jpg,ok,10
96,0.4 BACK/BSA /7.5 hrs/PXL_20260827_184337899.jpg,ok,10
97,0.4 BACK/BSA /7.5 hrs/PXL_20260827_184408057.jpg,ok,10
98,0.4 BACK/BSA /7.5 hrs/PXL_20260827_184435496.jpg,ok,14
99,0.4 BACK/BSA /7.5 hrs/PXL_20260827_184537917.jpg,ok,12
100,0.4 BACK/BSA /7.5 hrs/PXL_20260827_184558349.jpg,ok,11
101,0.4 BACK/BSA /7.5 hrs/PXL_20260827_184632327.jpg,ok,9
102,0.4 BACK/BSA /9 hrs/PXL_20260827_200152931.jpg,ok,7
103,0.4 BACK/BSA /9 hrs/PXL_20260827_200201908.jpg,ok,6
104,0.4 BACK/BSA /9 hrs/PXL_20260827_200214496.jpg,ok,5
105,0.4 BACK/BSA /9 hrs/PXL_20260827_200238921.jpg,ok,7
106,0.4 BACK/BSA /9 hrs/PXL_20260827_200252970.jpg,ok,8
107,0.4 BACK/BSA /9 hrs/PXL_20260827_200304333.jpg,ok,8
108,0.4 BACK/BSA /9 hrs/PXL_20260827_201024422.jpg,ok,11
109,0.4 BACK/BSA /9 hrs/PXL_20260827_201054033.jpg,ok,10
110,0.4 BACK/BSA /9 hrs/PXL_20260827_201108212.jpg,ok,11
111,0.4 BACK/BSA /9 hrs/PXL_20260827_201144268.jpg,ok,12
112,0.4 BACK/BSA /9 hrs/PXL_20260827_201201700.jpg,ok,11
113,0.4 BACK/BSA /9 hrs/PXL_20260827_201218730.jpg,ok,9
114,0.4 BACK/BSA /10.5 hrs/PXL_20260827_213045960.jpg,ok,7
115,0.4 BACK/BSA /10.5 hrs/PXL_20260827_213055749.jpg,ok,7
116,0.4 BACK/BSA /10.5 hrs/PXL_20260827_213105102.jpg,ok,7
117,0.4 BACK/BSA /10.5 hrs/PXL_20260827_213124369.jpg,ok,7
118,0.4 BACK/BSA /10.5 hrs/PXL_20260827_213138382.jpg,ok,8
119,0.4 BACK/BSA /10.5 hrs/PXL_20260827_213150381.jpg,ok,8
120,0.4 BACK/BSA /10.5 hrs/PXL_20260827_213914517.jpg,ok,12
121,0.4 BACK/BSA /10.5 hrs/PXL_20260827_213937518.jpg,ok,9
122,0.4 BACK/BSA /10.5 hrs/PXL_20260827_214001661.jpg,ok,13
123,0.4 BACK/BSA /10.5 hrs/PXL_20260827_214113836.jpg,ok,12
124,0.4 BACK/BSA /10.5 hrs/PXL_20260827_214122429.jpg,ok,11
125,0.4 BACK/BSA /10.5 hrs/PXL_20260827_214140704.jpg,ok,8
126,0.4 BACK/BSA /12 hrs/PXL_20260827_225111295.jpg,ok,8
127,0.4 BACK/BSA /12 hrs/PXL_20260827_225128130.jpg,ok,6
128,0.4 BACK/BSA /12 hrs/PXL_20260827_225136462.jpg,ok,4
129,0.4 BACK/BSA /12 hrs/PXL_20260827_225207698.jpg,ok,7
130,0.4 BACK/BSA /12 hrs/PXL_20260827_225223463.jpg,ok,9
131,0.4 BACK/BSA /12 hrs/PXL_20260827_225241172.jpg,ok,9
132,0.4 BACK/BSA /12 hrs/PXL_20260827_230158577.jpg,ok,12
133,0.4 BACK/BSA /12 hrs/PXL_20260827_230218470.jpg,ok,8
134,0.4 BACK/BSA /12 hrs/PXL_20260827_230236136.jpg,ok,11
135,0.4 BACK/BSA /12 hrs/PXL_20260827_230436274.jpg,ok,11
136,0.4 BACK/BSA /12 hrs/PXL_20260827_230445293.jpg,ok,11
137,0.4 BACK/BSA /12 hrs/PXL_20260827_230456636.jpg,ok,8
138,0.4 BACK/BSA /21.5 hrs/PXL_20260828_082806000.jpg,ok,8
139,0.4 BACK/BSA /21.5 hrs/PXL_20260828_082842334.jpg,ok,6
140,0.4 BACK/BSA /21.5 hrs/PXL_20260828_082921987.jpg,ok,8
141,0.4 BACK/BSA /21.5 hrs/PXL_20260828_083009673.jpg,ok,10
142,0.4 BACK/BSA /21.5 hrs/PXL_20260828_083120420.jpg,ok,10
143,0.4 BACK/BSA /21.5 hrs/PXL_20260828_083151570.jpg,ok,8
144,0.4 BACK/BSA /21.5 hrs/PXL_20260828_084802553.jpg,ok,9
145,0.4 BACK/BSA /21.5 hrs/PXL_20260828_084818395.jpg,ok,8
146,0.4 BACK/BSA /21.5 hrs/PXL_20260828_084832324.jpg,ok,12
147,0.4 BACK/BSA /21.5 hrs/PXL_20260828_084917810.jpg,ok,10
148,0.4 BACK/BSA /21.5 hrs/PXL_20260828_084935517.jpg,ok,10
149,0.4 BACK/BSA /21.5 hrs/PXL_20260828_084951875.jpg,ok,6
150,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_110536317.jpg,ok,2
151,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_110545377.jpg,ok,5
152,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_110604764.jpg,ok,2
153,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_110659452.jpg,ok,7
154,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_110714060.jpg,ok,3
155,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_110726354.jpg,ok,6
156,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_110751175.jpg,ok,2
157,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_110817323.jpg,ok,1
158,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_110903525.jpg,ok,6
159,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_110927470.jpg,ok,7
160,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_110947262.jpg,ok,3
161,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_111007893.jpg,ok,7
162,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_112533489.jpg,ok,2
163,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_112546168.jpg,ok,4
164,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_112559212.jpg,ok,2
165,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_112620541.jpg,ok,2
166,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_112646561.jpg,ok,3
167,0.4 BACK/NON-BSA/0 hrs/PXL_20260827_112700417.jpg,ok,4
168,0.4 BACK/NON-BSA/1 hr/PXL_20260827_120518476.jpg,ok,4
169,0.4 BACK/NON-BSA/1 hr/PXL_20260827_120551565.jpg,ok,5
170,0.4 BACK/NON-BSA/1 hr/PXL_20260827_120614481.jpg,ok,7
171,0.4 BACK/NON-BSA/1 hr/PXL_20260827_120647663.jpg,ok,7
172,0.4 BACK/NON-BSA/1 hr/PXL_20260827_120711718.jpg,ok,7
173,0.4 BACK/NON-BSA/1 hr/PXL_20260827_120730635.jpg,ok,9
174,0.4 BACK/NON-BSA/1 hr/PXL_20260827_122925816.jpg,ok,2
175,0.4 BACK/NON-BSA/1 hr/PXL_20260827_122938669.jpg,ok,3
176,0.4 BACK/NON-BSA/1 hr/PXL_20260827_122950353.jpg,ok,2
