path,geometry,timepoint_hr,capture_time,shot_order,gap_s
0.6 CENTER/1.5 hrs/PXL_20260826_163733925.jpg,0.6 CENTER,1.5,2026-08-26 16:37:33.925,1,
0.6 CENTER/1.5 hrs/PXL_20260826_163754148.jpg,0.6 CENTER,1.5,2026-08-26 16:37:54.148,2,20.223
0.6 CENTER/1.5 hrs/PXL_20260826_163828049.jpg,0.6 CENTER,1.5,2026-08-26 16:38:28.049,3,33.901
0.6 CENTER/1.5 hrs/PXL_20260826_163848822.jpg,0.6 CENTER,1.5,2026-08-26 16:38:48.822,4,20.773
0.6 CENTER/1.5 hrs/PXL_20260826_163910370.jpg,0.6 CENTER,1.5,2026-08-26 16:39:10.370,5,21.548
0.6 CENTER/1.5 hrs/PXL_20260826_163937630.jpg,0.6 CENTER,1.5,2026-08-26 16:39:37.630,6,27.26
0.6 CENTER/1.5 hrs/PXL_20260826_164001581.jpg,0.6 CENTER,1.5,2026-08-26 16:40:01.581,7,23.951
0.6 CENTER/1.5 hrs/PXL_20260826_164021421.jpg,0.6 CENTER,1.5,2026-08-26 16:40:21.421,8,19.84
0.6 CENTER/1.5 hrs/PXL_20260826_164040938.jpg,0.6 CENTER,1.5,2026-08-26 16:40:40.938,9,19.517
0.6 CENTER/1.5 hrs/PXL_20260826_164103754.jpg,0.6 CENTER,1.5,2026-08-26 16:41:03.754,10,22.816
0.6 CENTER/1.5 hrs/PXL_20260826_164134072.jpg,0.6 CENTER,1.5,2026-08-26 16:41:34.072,11,30.318
0.6 CENTER/1.5 hrs/PXL_20260826_164218694.jpg,0.6 CENTER,1.5,2026-08-26 16:42:18.694,12,44.622
0.6 CENTER/1.5 hrs/PXL_20260826_164428849.jpg,0.6 CENTER,1.5,2026-08-26 16:44:28.849,13,130.155
0.6 CENTER/1.5 hrs/PXL_20260826_164505612.jpg,0.6 CENTER,1.5,2026-08-26 16:45:05.612,14,36.763
0.6 CENTER/1.5 hrs/PXL_20260826_164533473.jpg,0.6 CENTER,1.5,2026-08-26 16:45:33.473,15,27.861
0.6 CENTER/1.5 hrs/PXL_20260826_164603003.jpg,0.6 CENTER,1.5,2026-08-26 16:46:03.003,16,29.53
0.6 CENTER/2 hrs/PXL_20260826_170716822.jpg,0.6 CENTER,2.0,2026-08-26 17:07:16.822,1,
0.6 CENTER/2 hrs/PXL_20260826_170742026.jpg,0.6 CENTER,2.0,2026-08-26 17:07:42.026,2,25.204
0.6 CENTER/2 hrs/PXL_20260826_170828401.jpg,0.6 CENTER,2.0,2026-08-26 17:08:28.401,3,46.375
0.6 CENTER/2 hrs/PXL_20260826_170921021.jpg,0.6 CENTER,2.0,2026-08-26 17:09:21.021,4,52.62
0.6 CENTER/2 hrs/PXL_20260826_171000056.jpg,0.6 CENTER,2.0,2026-08-26 17:10:00.056,5,39.035
0.6 CENTER/2 hrs/PXL_20260826_171037601.jpg,0.6 CENTER,2.0,2026-08-26 17:10:37.601,6,37.545
0.6 CENTER/2 hrs/PXL_20260826_171112449.jpg,0.6 CENTER,2.0,2026-08-26 17:11:12.449,7,34.848
0.6 CENTER/2 hrs/PXL_20260826_171148701.jpg,0.6 CENTER,2.0,2026-08-26 17:11:48.701,8,36.252
0.6 CENTER/2 hrs/PXL_20260826_171215245.jpg,0.6 CENTER,2.0,2026-08-26 17:12:15.245,9,26.544
0.6 CENTER/2 hrs/PXL_20260826_171250000.jpg,0.6 CENTER,2.0,2026-08-26 17:12:50.000,10,34.755
0.6 CENTER/2 hrs/PXL_20260826_171322536.jpg,0.6 CENTER,2.0,2026-08-26 17:13:22.536,11,32.536
0.6 CENTER/2 hrs/PXL_20260826_171404200.jpg,0.6 CENTER,2.0,2026-08-26 17:14:04.200,12,41.664
0.6 CENTER/2 hrs/PXL_20260826_171926790.jpg,0.6 CENTER,2.0,2026-08-26 17:19:26.790,13,322.59
0.6 CENTER/2 hrs/PXL_20260826_171957019.jpg,0.6 CENTER,2.0,2026-08-26 17:19:57.019,14,30.229
0.6 CENTER/2 hrs/PXL_20260826_172018062.jpg,0.6 CENTER,2.0,2026-08-26 17:20:18.062,15,21.043
0.6 CENTER/2 hrs/PXL_20260826_172337574.jpg,0.6 CENTER,2.0,2026-08-26 17:23:37.574,16,199.512
0.6 CENTER/2.5 hrs/PXL_20260826_174757278.jpg,0.6 CENTER,2.5,2026-08-26 17:47:57.278,1,
0.6 CENTER/2.5 hrs/PXL_20260826_174902987.jpg,0.6 CENTER,2.5,2026-08-26 17:49:02.987,2,65.709
0.6 CENTER/2.5 hrs/PXL_20260826_174950346.jpg,0.6 CENTER,2.5,2026-08-26 17:49:50.346,3,47.359
0.6 CENTER/2.5 hrs/PXL_20260826_175039786.jpg,0.6 CENTER,2.5,2026-08-26 17:50:39.786,4,49.44
0.6 CENTER/2.5 hrs/PXL_20260826_175123358.jpg,0.6 CENTER,2.5,2026-08-26 17:51:23.358,5,43.572
0.6 CENTER/2.5 hrs/PXL_20260826_175232350.jpg,0.6 CENTER,2.5,2026-08-26 17:52:32.350,6,68.992
0.6 CENTER/2.5 hrs/PXL_20260826_175251478.jpg,0.6 CENTER,2.5,2026-08-26 17:52:51.478,7,19.128
