idx,dirt
0,1.0
1,1.0
2,0.9512195
3,1.0
4,1.0
5,1.0
6,0.9051535
7,0.92379385
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
14,1.0
15,1.0
16,1.0
17,0.9875776
18,1.0
19,0.96100914
20,1.0
21,1.0
22,1.0
23,1.0
24,0.9997259
25,1.0
26,1.0
27,1.0
28,0.9871162
29,1.0
30,1.0
31,0.94526625
32,0.9927645
33,0.9276447
34,1.0
35,1.0
36,1.0
37,0.9947917
38,0.89117324
39,1.0
40,1.0
41,1.0
42,0.9647619
43,1.0
44,1.0
45,0.9451098
46,0.91217566
47,0.9964364
48,1.0
49,0.94188595
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,0.91471165
56,0.93941885
57,0.871507
58,1.0
59,1.0
60,0.80263156
61,0.90707237
62,0.9783443
63,0.93421054
64,0.91995615
65,0.93914473
66,0.9966281
67,0.90868264
68,1.0
69,0.9872754
70,1.0
71,1.0
72,0.83936405
73,0.859375
74,0.9962575
75,1.0
76,0.93787426
77,0.98902196
78,1.0
79,1.0
80,1.0
81,0.98228544
82,1.0
83,1.0
84,0.9866771
85,0.9986294
86,0.9875249
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,0.9426148
95,1.0
96,0.99498945
97,1.0
98,0.9900538
99,0.9453593
100,0.8712575
101,1.0
102,1.0
103,1.0
104,1.0
105,0.91841316
106,1.0
107,1.0
108,1.0
109,1.0
110,0.99252135
111,0.9717827
112,0.9631104
113,0.99608153
114,1.0
115,0.9895833
116,0.9997505
117,1.0
118,1.0
119,1.0
120,0.997807
121,1.0
122,0.99097663
123,0.9147541
124,1.0
125,0.9947917
126,1.0
127,0.997807
128,1.0
129,0.9755489
130,1.0
131,1.0
132,1.0
133,1.0
134,0.9961874
135,0.97762346
136,1.0
137,1.0
138,1.0
139,0.7144573
140,0.7094298
141,1.0
142,0.98602796
143,0.64972526
144,1.0
145,0.49627262
146,0.9934211
147,0.9570707
149,0.99013156
150,0.9746486
151,1.0
152,1.0
153,0.997807
154,1.0
155,0.88622755
156,0.8787425
157,1.0
158,0.93088824
159,0.99698466
160,1.0
161,0.9957585
162,0.9871162
163,1.0
164,1.0
165,1.0
166,1.0
167,0.9939693
168,0.9809671
169,0.9677264
170,0.8962076
171,0.9293912
172,0.98554915
173,1.0
174,0.97341007
175,0.9913618
176,1.0
177,1.0
178,0.97002035
179,0.9964364
180,1.0
181,1.0
182,0.9231537
