idx,ok,gap_vertical,gap_frac,series,t,date
87,True,True,0.5541666666666667,PEG_S2,2.5,2026-08-23
88,True,True,0.5270833333333333,COOH_L1,2.5,2026-08-23
89,True,True,0.525,COOH_L2,2.5,2026-08-23
90,True,True,0.53125,COOH_S1,2.5,2026-08-23
91,True,True,0.5208333333333334,COOH_S2,2.5,2026-08-23
92,True,True,0.5270833333333333,PEG_L3,2.5,2026-08-25
93,True,True,0.5416666666666666,PEG_S3,2.5,2026-08-25
94,True,True,0.5166666666666667,COOH_L3,2.5,2026-08-25
95,True,True,0.5229166666666667,COOH_S3,2.5,2026-08-25
96,True,True,0.4979166666666667,PEG_control,2.5,2026-08-25
97,True,True,0.49166666666666664,COOH_control,2.5,2026-08-25
98,True,True,0.5166666666666667,PEG_L1,3.0,2026-08-23
99,True,True,0.5395833333333333,PEG_L2,3.0,2026-08-23
100,True,True,0.5416666666666666,PEG_S1,3.0,2026-08-23
101,True,True,0.9145833333333333,PEG_S2,3.0,2026-08-23
102,True,True,0.5333333333333333,COOH_L1,3.0,2026-08-23
103,True,True,0.51875,COOH_L2,3.0,2026-08-23
104,True,True,0.5375,COOH_S1,3.0,2026-08-23
105,True,True,0.5229166666666667,COOH_S2,3.0,2026-08-23
106,True,True,0.5270833333333333,PEG_L3,3.0,2026-08-25
107,True,True,0.5375,PEG_S3,3.0,2026-08-25
108,True,True,0.5145833333333333,COOH_L3,3.0,2026-08-25
109,True,True,0.525,COOH_S3,3.0,2026-08-25
110,True,True,0.49583333333333335,PEG_control,3.0,2026-08-25
111,True,True,0.49166666666666664,COOH_control,3.0,2026-08-25
112,True,True,0.83125,PEG_L1,3.5,2026-08-23
113,True,True,0.5333333333333333,PEG_L2,3.5,2026-08-23
114,True,True,0.625,PEG_S1,3.5,2026-08-23
115,True,True,0.9145833333333333,PEG_S2,3.5,2026-08-23
116,True,True,0.5354166666666667,COOH_L1,3.5,2026-08-23
117,True,True,0.5270833333333333,COOH_L2,3.5,2026-08-23
