path,timepoint_hr,capture_time,shot_order,gap_s
1.5 hrs/PXL_20260823_164450331.jpg,1.5,2026-08-23 16:44:50.331,3,39.406
1.5 hrs/PXL_20260823_164534097.jpg,1.5,2026-08-23 16:45:34.097,4,43.766
1.5 hrs/PXL_20260823_164614834.jpg,1.5,2026-08-23 16:46:14.834,5,40.737
1.5 hrs/PXL_20260823_164705937.jpg,1.5,2026-08-23 16:47:05.937,6,51.103
1.5 hrs/PXL_20260823_164738020.jpg,1.5,2026-08-23 16:47:38.020,7,32.083
1.5 hrs/PXL_20260823_164811229.jpg,1.5,2026-08-23 16:48:11.229,8,33.209
1.5 hrs/PXL_20260825_200201564.jpg,1.5,2026-08-25 20:02:01.564,9,184430.335
1.5 hrs/PXL_20260825_200300689.jpg,1.5,2026-08-25 20:03:00.689,10,59.125
1.5 hrs/PXL_20260825_200336768.jpg,1.5,2026-08-25 20:03:36.768,11,36.079
1.5 hrs/PXL_20260825_200414652.jpg,1.5,2026-08-25 20:04:14.652,12,37.884
1.5 hrs/PXL_20260825_200519528.jpg,1.5,2026-08-25 20:05:19.528,13,64.876
1.5 hrs/PXL_20260825_200554849.jpg,1.5,2026-08-25 20:05:54.849,14,35.321
2 hrs/PXL_20260823_171306163.jpg,2.0,2026-08-23 17:13:06.163,1,
2 hrs/PXL_20260823_171349560.jpg,2.0,2026-08-23 17:13:49.560,2,43.397
2 hrs/PXL_20260823_171421987.jpg,2.0,2026-08-23 17:14:21.987,3,32.427
2 hrs/PXL_20260823_171507582.jpg,2.0,2026-08-23 17:15:07.582,4,45.595
2 hrs/PXL_20260823_171553129.jpg,2.0,2026-08-23 17:15:53.129,5,45.547
2 hrs/PXL_20260823_171631281.jpg,2.0,2026-08-23 17:16:31.281,6,38.152
2 hrs/PXL_20260823_171708809.jpg,2.0,2026-08-23 17:17:08.809,7,37.528
2 hrs/PXL_20260823_171758020.jpg,2.0,2026-08-23 17:17:58.020,8,49.211
2 hrs/PXL_20260825_203407620.jpg,2.0,2026-08-25 20:34:07.620,9,184569.6
2 hrs/PXL_20260825_203537898.jpg,2.0,2026-08-25 20:35:37.898,10,90.278
2 hrs/PXL_20260825_203709544.jpg,2.0,2026-08-25 20:37:09.544,11,91.646
2 hrs/PXL_20260825_203834662.jpg,2.0,2026-08-25 20:38:34.662,12,85.118
2 hrs/PXL_20260825_204003392.jpg,2.0,2026-08-25 20:40:03.392,13,88.73
2 hrs/PXL_20260825_204100186.jpg,2.0,2026-08-25 20:41:00.186,14,56.794
