idx,ring_L,block_L,norm_dark
0,234.0,246.01634407043457,-12.01634407043457
1,224.0,247.29983615875244,-23.29983615875244
2,229.0,225.3459186553955,3.654081344604492
3,200.0,221.8512840270996,-21.85128402709961
4,202.0,252.52163863182068,-50.52163863182068
5,190.0,252.59864330291748,-62.59864330291748
6,230.0,223.7509059906006,6.249094009399414
7,210.0,235.06862449645996,-25.06862449645996
8,194.0,252.67220425605774,-58.67220425605774
9,204.0,253.993874669075,-49.99387466907501
10,233.0,216.72447967529297,16.27552032470703
11,216.0,226.62883377075195,-10.628833770751953
12,233.0,246.4689483642578,-13.468948364257812
13,195.0,244.4552707672119,-49.455270767211914
14,233.0,245.26622486114502,-12.26622486114502
15,230.0,227.25332832336426,2.746671676635742
16,200.0,245.9247760772705,-45.92477607727051
17,228.0,225.9934196472168,2.006580352783203
18,226.0,246.83959007263184,-20.839590072631836
19,202.0,230.77268028259277,-28.772680282592773
20,211.0,237.0915184020996,-26.09151840209961
21,215.0,239.23171424865723,-24.231714248657227
22,209.0,235.6320400238037,-26.63204002380371
23,202.0,233.51897811889648,-31.518978118896484
24,219.0,225.64088439941406,-6.6408843994140625
25,230.0,227.97075843811035,2.0292415618896484
26,228.0,213.76062774658203,14.239372253417969
27,230.0,221.56056594848633,8.439434051513672
28,227.0,216.60719299316406,10.392807006835938
29,228.0,213.7366828918457,14.263317108154297
30,205.0,230.80157089233398,-25.801570892333984
31,204.0,229.3325023651123,-25.332502365112305
32,204.0,242.69412994384766,-38.694129943847656
33,208.0,234.6543426513672,-26.654342651367188
34,210.0,237.48920440673828,-27.48920440673828
35,209.0,227.8065948486328,-18.806594848632812
36,231.0,211.11170196533203,19.88829803466797
37,232.0,217.57354354858398,14.426456451416016
38,231.0,216.21273040771484,14.787269592285156
39,230.0,220.73732376098633,9.262676239013672
40,226.0,234.1946563720703,-8.194656372070312
41,229.0,214.58211135864258,14.417888641357422
42,205.0,232.2686004638672,-27.268600463867188
43,206.0,226.66779708862305,-20.667797088623047
44,202.0,245.43093299865723,-43.43093299865723
45,206.0,240.33468914031982,-34.334689140319824
46,204.0,239.4214563369751,-35.4214563369751
47,205.0,233.9592113494873,-28.959211349487305
48,227.0,216.89005661010742,10.109943389892578
49,221.0,223.50798416137695,-2.507984161376953
50,230.0,209.5624122619629,20.43758773803711
51,230.0,221.36656951904297,8.633430480957031
52,232.0,243.8595724105835,-11.859572410583496
53,229.0,216.28491973876953,12.715080261230469
54,204.0,234.79923629760742,-30.799236297607422
55,204.0,227.8266487121582,-23.826648712158203
56,215.0,238.01952743530273,-23.019527435302734
57,207.0,238.22037315368652,-31.220373153686523
58,209.0,233.6609287261963,-24.66092872619629
59,208.0,226.78807640075684,-18.788076400756836
60,226.0,222.43562698364258,3.564373016357422
61,218.0,223.1862335205078,-5.1862335205078125
62,227.0,215.50969696044922,11.490303039550781
63,224.0,215.33142471313477,8.668575286865234
64,225.0,216.96723175048828,8.032768249511719
65,225.0,227.4714012145996,-2.4714012145996094
66,204.0,231.26426315307617,-27.264263153076172
67,210.0,222.8169708251953,-12.816970825195312
68,212.0,235.28152656555176,-23.281526565551758
69,201.0,241.19400310516357,-40.194003105163574
70,209.0,233.62890434265137,-24.628904342651367
71,203.0,229.8351821899414,-26.835182189941406
72,227.0,222.0452003479004,4.954799652099609
73,220.0,226.25985527038574,-6.259855270385742
74,235.0,227.4478816986084,7.552118301391602
75,231.0,232.3166561126709,-1.3166561126708984
76,218.0,241.8101863861084,-23.8101863861084
77,223.0,226.31887435913086,-3.3188743591308594
78,213.0,228.8711338043213,-15.871133804321289
79,210.0,227.17506980895996,-17.17506980895996
80,205.0,234.6150131225586,-29.615013122558594
81,215.0,224.6680145263672,-9.668014526367188
82,206.0,236.2125358581543,-30.212535858154297
83,209.0,227.3538761138916,-18.3538761138916
84,228.0,239.02469730377197,-11.024697303771973
85,215.0,231.63340187072754,-16.63340187072754
86,220.0,230.2657070159912,-10.265707015991211
87,232.0,227.0418586730957,4.958141326904297
88,223.0,237.04117012023926,-14.041170120239258
89,223.0,231.39150047302246,-8.391500473022461
90,213.0,232.5734462738037,-19.57344627380371
91,211.0,233.8164119720459,-22.8164119720459
92,208.0,242.61818981170654,-34.61818981170654
93,204.0,236.05366134643555,-32.05366134643555
94,208.0,232.58114433288574,-24.581144332885742
95,211.0,224.3476848602295,-13.347684860229492
96,225.0,242.31675243377686,-17.316752433776855
97,227.0,229.67363357543945,-2.673633575439453
98,229.0,226.2861557006836,2.7138442993164062
99,226.0,232.76658821105957,-6.76658821105957
100,224.0,241.0282793045044,-17.028279304504395
101,222.0,231.50388145446777,-9.503881454467773
102,215.0,228.6603488922119,-13.660348892211914
103,210.0,219.39234924316406,-9.392349243164062
104,208.0,235.40692138671875,-27.40692138671875
105,207.0,235.72122383117676,-28.721223831176758
