idx,refined,tab_found,rot_k
398,True,True,1
399,True,True,1
400,True,True,1
401,True,True,1
402,True,True,1
403,True,True,1
404,True,True,1
405,False,True,1
406,True,True,1
407,True,True,1
408,True,True,1
409,True,True,1
410,True,True,1
411,True,True,1
412,True,True,1
413,True,True,1
414,True,True,1
415,True,True,1
416,True,True,1
417,True,True,1
418,True,True,1
419,True,True,1
420,True,True,1
421,True,True,1
422,True,True,1
423,True,True,1
424,True,True,1
425,True,True,1
426,True,True,1
427,True,True,1
428,True,True,1
429,True,True,1
430,True,True,1
431,True,True,1
432,True,True,1
433,True,True,1
434,True,True,1
435,True,True,1
436,True,True,1
437,True,True,1
438,True,True,0
439,True,True,0
440,True,True,0
441,True,True,0
442,True,True,0
443,True,True,0
444,True,True,0
445,False,True,3
446,True,True,0
447,True,True,0
448,True,True,0
449,True,True,0
450,True,True,1
451,True,True,1
452,True,True,1
453,True,True,1
454,True,True,1
455,True,True,1
456,True,True,1
457,True,True,1
458,True,True,1
459,True,True,1
460,True,True,1
461,True,True,1
462,True,True,1
463,True,True,1
464,True,True,1
465,True,True,1
466,True,True,1
467,True,True,1
468,True,True,1
469,True,True,1
470,True,True,1
471,True,True,1
472,True,True,1
473,True,True,1
474,True,True,1
475,True,True,1
476,True,True,1
477,True,True,1
478,True,True,1
479,True,True,1
480,True,True,1
481,True,True,1
482,True,True,1
483,True,True,1
484,True,True,1
485,True,True,1
486,True,True,1
487,True,True,1
488,True,True,1
489,True,True,1
490,True,True,1
491,True,True,1
492,True,True,1
493,True,True,1
494,True,True,1
495,True,True,1
496,True,True,1
497,True,True,1
498,True,True,1
499,True,True,1
500,True,True,1
501,True,True,1
502,True,True,1
503,True,True,1
504,True,True,1
505,True,True,1
506,True,True,1
507,True,True,1
508,True,True,1
509,True,True,1
510,True,True,1
511,True,True,1
512,True,True,1
513,True,True,1
514,True,True,1
515,True,True,1
516,True,True,1
517,True,True,1
518,True,True,1
519,True,True,1
520,True,True,1
521,True,True,1
522,True,True,1
523,True,True,1
524,True,True,1
525,True,True,1
526,True,True,1
527,True,True,1
528,True,True,1
529,True,True,1
530,True,True,1
531,True,True,1
532,True,True,1
533,True,True,1
534,True,True,1
535,True,True,1
536,True,True,1
537,True,True,1
538,True,True,1
539,True,True,1
540,True,True,1
541,True,True,1
542,True,True,1
543,True,True,1
544,True,True,1
545,True,True,1
546,True,True,1
547,True,True,1
548,True,True,1
549,True,True,1
550,True,True,1
551,True,True,1
552,True,True,1
553,True,True,1
554,True,True,1
555,True,True,1
556,True,True,1
557,True,True,1
558,True,True,1
559,True,True,1
560,True,True,1
561,True,True,1
562,True,True,1
563,True,True,1
564,True,True,1
565,True,True,1
566,True,True,1
567,True,True,1
568,True,True,1
569,True,True,1
570,True,True,1
571,True,True,1
572,True,True,1
573,True,True,1
574,True,True,1
575,True,True,1
576,True,True,1
577,True,True,1
578,True,True,1
579,True,True,1
580,True,True,1
581,True,True,1
582,True,True,1
583,True,True,1
584,True,True,1
585,True,True,1
586,True,True,1
587,True,True,1
588,True,True,0
589,True,True,0
590,True,True,0
591,True,True,0
592,True,True,0
593,True,True,0
594,True,True,0
595,True,True,0
596,True,True,0
597,True,True,0
598,True,True,0
599,True,True,0
