geometry,perturb,idx,series,coating,arm,t,centroid_mag,d90_mag,nav_index
repair,False,0,PEG_L1,PEG,large,0.0,1.1779946568516249,2.4706182766813525,0.15046362299759403
repair,False,1,PEG_L2,PEG,large,0.0,1.194568533479565,2.554551815346386,0.06573852121601213
repair,False,2,PEG_S1,PEG,small,0.0,0.8286540198935675,1.927679284337509,0.08584624103365986
repair,False,3,PEG_S2,PEG,small,0.0,1.2508624152784025,2.6750137050496483,0.22976837513477583
repair,False,4,COOH_L1,COOH,large,0.0,0.9386952528414935,2.0651530930386546,0.010726093048958977
repair,False,5,COOH_L2,COOH,large,0.0,0.8726051066214869,1.895464797228406,0.04948187531528053
repair,False,6,COOH_S1,COOH,small,0.0,0.8782019301737752,1.8434248339874635,0.24849587158820763
repair,False,7,COOH_S2,COOH,small,0.0,0.956128128351063,1.973156868340944,-0.48074311751975124
repair,False,8,PEG_L1,PEG,large,0.0,1.6070749041396009,3.8568274263320763,0.32379014510153853
repair,False,9,PEG_L2,PEG,large,0.0,1.4835880358932878,3.3516590723215334,0.46811582644970734
repair,False,10,PEG_S1,PEG,small,0.0,1.026624975964231,2.1632151420716377,0.08486473640362356
repair,False,11,PEG_S2,PEG,small,0.0,1.5112423380665754,3.985672193598212,0.32789137288221604
repair,False,12,COOH_L1,COOH,large,0.0,1.3766740684158623,3.8358852245061876,0.48354673459195113
repair,False,13,COOH_L2,COOH,large,0.0,1.3202562970306273,4.068072126457251,0.2744686951368367
repair,False,14,COOH_S1,COOH,small,0.0,0.8651320928161399,1.8279363464920648,0.3811498699399561
repair,False,15,COOH_S2,COOH,small,0.0,1.0313648518901737,2.1965756611787004,0.15234360115992385
repair,False,16,PEG_L3,PEG,large,0.0,1.099532847144966,2.484464258251054,0.523044334170116
repair,False,17,PEG_S3,PEG,small,0.0,0.9346069686759608,1.971440396151506,0.29819979661601453
repair,False,18,COOH_L3,COOH,large,0.0,1.1389554968292257,2.2864942843863747,0.08396467655476762
repair,False,19,COOH_S3,COOH,small,0.0,1.034043468286763,2.1052955651933587,0.07974998374503627
repair,False,20,PEG_control,PEG,control,0.0,1.3468779196112812,2.6794816925142095,0.15513902043071798
repair,False,21,COOH_control,COOH,control,0.0,0.869929983124541,1.867534388766257,-0.10230806030292836
repair,False,22,PEG_L3,PEG,large,0.0,1.518932966325113,3.184432594458116,0.5709512316759644
repair,False,23,PEG_S3,PEG,small,0.0,1.006970746161443,2.0720189482961224,0.21405062755802587
repair,False,24,COOH_L3,COOH,large,0.0,1.6206833718205553,3.462003372740221,0.4283490515762525
repair,False,25,COOH_S3,COOH,small,0.0,1.0389361716898817,2.180027887952405,0.16726302925536293
repair,False,26,PEG_control,PEG,control,0.0,1.2377419886724637,2.5461711497159487,0.07508741462545679
repair,False,27,COOH_control,COOH,control,0.0,0.8562044038813973,1.8084777166977524,-0.370684170569925
repair,False,28,PEG_L1,PEG,large,0.5,1.5790492513663155,3.7590248696384494,0.6674825392851776
repair,False,29,PEG_L2,PEG,large,0.5,1.3407472215371867,3.4320245461507675,0.7385199251211931
repair,False,30,PEG_S1,PEG,small,0.5,0.720908234535145,1.605924093618685,0.805939536214996
repair,False,31,PEG_S2,PEG,small,0.5,1.447754192588244,3.7726608356502944,0.5118962237800074
repair,False,32,COOH_L1,COOH,large,0.5,1.3675521718848722,3.6772181325887385,0.711149190902609
repair,False,33,COOH_L2,COOH,large,0.5,1.3128481349616374,3.8111397229172463,0.7369096492852263
repair,False,34,COOH_S1,COOH,small,0.5,0.7694095426874634,1.7044595589927731,0.4576700280472398
repair,False,35,COOH_S2,COOH,small,0.5,0.9071466202914069,2.1773023730944527,-0.180958743001691
repair,False,36,PEG_L3,PEG,large,0.5,1.5631806260802803,3.3136453662527146,0.6842155499114835
repair,False,37,PEG_S3,PEG,small,0.5,0.9919537498748984,1.9556889847453733,-0.27479386422101093
repair,False,38,COOH_L3,COOH,large,0.5,1.2466568400323748,3.2243771604148,0.8185008650606785
repair,False,39,COOH_S3,COOH,small,0.5,0.8937484196100484,2.1103447502511847,0.33036992195827797
repair,False,40,PEG_control,PEG,control,0.5,1.1596615981395006,2.352427499611258,-0.1495936400762005
repair,False,41,COOH_control,COOH,control,0.5,0.8298449390848952,1.8281776272789223,-0.19719982938937286
repair,False,42,PEG_L1,PEG,large,1.0,1.3326859132367042,3.457129690102984,0.8349423048542775
repair,False,43,PEG_L2,PEG,large,1.0,1.3985197422085924,3.4580052999224833,0.7924507552290707
repair,False,44,PEG_S1,PEG,small,1.0,0.6356146235507829,1.5940945786411613,0.6055223354545929
repair,False,45,PEG_S2,PEG,small,1.0,1.4700500943166295,3.6399730023446466,0.5959197902211151
repair,False,46,COOH_L1,COOH,large,1.0,1.4069938672162574,3.646703865089218,0.7795018034654451
repair,False,47,COOH_L2,COOH,large,1.0,1.3625605142459338,3.7065138438309777,0.7920902210038083
repair,False,48,COOH_S1,COOH,small,1.0,0.8095515332121421,1.9163121745873497,0.4961009949105625
repair,False,49,COOH_S2,COOH,small,1.0,0.8187722700748437,1.9974350520081623,0.1447441511141857
repair,False,50,PEG_L3,PEG,large,1.0,1.421751870905669,3.2118696521875316,0.7746590740315376
repair,False,51,PEG_S3,PEG,small,1.0,0.9613403903610612,1.9234281660692956,-0.31998879521137913
repair,False,52,COOH_L3,COOH,large,1.0,1.3797669054576431,3.273640939758113,0.8220931015899773
repair,False,53,COOH_S3,COOH,small,1.0,0.8148092090022239,2.0098390869729466,0.4480362586690305
repair,False,54,PEG_control,PEG,control,1.0,1.119171767320623,2.322080447103275,-0.0908247277480424
repair,False,55,COOH_control,COOH,control,1.0,0.7786727363379743,1.7669715985067977,-0.16550941432325167
repair,False,56,PEG_L1,PEG,large,1.5,1.5344102093557093,3.561009783767322,0.8215706745531387
repair,False,57,PEG_L2,PEG,large,1.5,1.5399648695170662,3.5156483750961782,0.8034839809464798
repair,False,58,PEG_S1,PEG,small,1.5,0.7681797797809483,1.826645652262619,0.6107740036346392
repair,False,59,PEG_S2,PEG,small,1.5,1.4521029625295216,3.6643718790155995,0.669802680008477
repair,False,60,COOH_L1,COOH,large,1.5,1.4886453222493425,3.561438033247928,0.8165228724394411
repair,False,61,COOH_L2,COOH,large,1.5,1.4934095223184798,3.61407381587146,0.8412510202214749
repair,False,62,COOH_S1,COOH,small,1.5,0.9427784025811343,2.55213340503133,0.3328579141617604
repair,False,63,COOH_S2,COOH,small,1.5,0.9946272806887851,2.6319166730877903,0.49513758630289967
repair,False,64,PEG_L3,PEG,large,1.5,1.4236738022505058,3.146315644335357,0.8161886525826547
repair,False,65,PEG_S3,PEG,small,1.5,0.9667185674460127,1.9614096982983613,-0.29688166259141285
repair,False,66,COOH_L3,COOH,large,1.5,1.4733633579245027,3.2122639720423702,0.8732882709487367
repair,False,67,COOH_S3,COOH,small,1.5,0.8317835642545427,2.042051689533468,0.4503872980547712
repair,False,68,PEG_control,PEG,control,1.5,1.1004818919964456,2.3085766260690623,-0.08849030165913384
repair,False,69,COOH_control,COOH,control,1.5,0.8182928863574133,1.8078275341694923,-0.2501737316891336
repair,False,70,PEG_L1,PEG,large,2.0,1.5637984772023226,3.436559269394493,0.8797818757594366
repair,False,71,PEG_L2,PEG,large,2.0,1.5860506129887626,3.4495730449014452,0.8641577011706459
repair,False,72,PEG_S1,PEG,small,2.0,0.9634686641762611,2.3497317066832974,0.6681856703474653
repair,False,73,PEG_S2,PEG,small,2.0,1.5605231337558942,3.7414565653800533,0.7111443728033698
repair,False,74,COOH_L1,COOH,large,2.0,1.6134800353920262,3.5999007747339284,0.8248201391968982
repair,False,75,COOH_L2,COOH,large,2.0,1.6973006513036908,3.6870015511501215,0.8289632473139387
repair,False,76,COOH_S1,COOH,small,2.0,0.9840405048699787,2.319003405824273,0.5300147626160577
repair,False,77,COOH_S2,COOH,small,2.0,1.0706203988670893,3.158195646592827,0.3130038289962421
repair,False,78,PEG_L3,PEG,large,2.0,1.5004713858148897,3.1299517150855203,0.8478864031525064
repair,False,79,PEG_S3,PEG,small,2.0,0.9548861440454425,1.9720426607662052,-0.191199892601573
repair,False,80,COOH_L3,COOH,large,2.0,1.4963700608610977,3.186225005286779,0.9454951629866591
repair,False,81,COOH_S3,COOH,small,2.0,0.7356494865145661,1.8261064636662765,0.5628853349554886
repair,False,82,PEG_control,PEG,control,2.0,1.0700981087300794,2.2500606239349854,-0.09998344113966658
repair,False,83,COOH_control,COOH,control,2.0,0.7640894606565647,1.8458145100365568,-0.00991298374245758
repair,False,84,PEG_L1,PEG,large,2.5,1.7095632302525807,3.5607277294275814,0.8869701658530658
repair,False,85,PEG_L2,PEG,large,2.5,1.7615622829793516,3.5951300819995677,0.8674849019112768
repair,False,86,PEG_S1,PEG,small,2.5,1.0612284245314785,2.5511209626345797,0.6617634157696375
repair,False,87,PEG_S2,PEG,small,2.5,1.6361110479354941,3.7036226810022894,0.6710247728031072
repair,False,88,COOH_L1,COOH,large,2.5,1.763954714401999,3.6337140965348107,0.8312892486115179
repair,False,89,COOH_L2,COOH,large,2.5,1.8215631573330064,3.710261248006549,0.8205386244451167
repair,False,90,COOH_S1,COOH,small,2.5,1.0160249307478237,2.3770505412176224,0.5985234720874661
repair,False,91,COOH_S2,COOH,small,2.5,1.230259170713309,3.3409087736093666,0.3653863643991221
repair,False,92,PEG_L3,PEG,large,2.5,1.5839181189577476,3.1793375447193126,0.8673128382479489
repair,False,93,PEG_S3,PEG,small,2.5,0.9004770267434589,1.889487542518691,-0.17827180897752246
repair,False,94,COOH_L3,COOH,large,2.5,1.5955592217610044,3.328851253616201,0.9519993534761326
repair,False,95,COOH_S3,COOH,small,2.5,0.7585791661282184,1.8014066411260479,0.43792913268893585
repair,False,96,PEG_control,PEG,control,2.5,1.0448542955153861,2.2229735953528236,-0.1327607269453831
repair,False,97,COOH_control,COOH,control,2.5,0.7861018238994065,1.752078348884813,-0.25646507355333165
repair,False,98,PEG_L1,PEG,large,3.0,1.7977931485252563,3.6071162452414605,0.8958390749305821
repair,False,99,PEG_L2,PEG,large,3.0,1.8569734865190954,3.680325660273407,0.8573296963935924
repair,False,100,PEG_S1,PEG,small,3.0,1.0969447982710867,2.7342533940929554,0.6096346250953765
repair,False,101,PEG_S2,PEG,small,3.0,1.5856914020116797,3.5868331086286602,0.6345532637778295
repair,False,102,COOH_L1,COOH,large,3.0,1.8131645942194083,3.6669396763334157,0.853402562839285
repair,False,103,COOH_L2,COOH,large,3.0,1.8342952806688495,3.742317020080487,0.8484353505963932
repair,False,104,COOH_S1,COOH,small,3.0,1.0458837867601276,2.4996494676779633,0.5369882990090805
