series,cond,coating,bsa,control,t,asym
PEG_BSA_r3,PEG_BSA,PEG,BSA,False,4.5,30.079832077026367
COOH_BSA_r1,COOH_BSA,COOH,BSA,False,4.5,34.29281997680664
COOH_BSA_r2,COOH_BSA,COOH,BSA,False,4.5,42.14934539794922
COOH_BSA_r3,COOH_BSA,COOH,BSA,False,4.5,34.44557571411133
PEG_non-BSA_r1,PEG_non-BSA,PEG,non-BSA,False,4.5,18.468807220458984
PEG_non-BSA_r2,PEG_non-BSA,PEG,non-BSA,False,4.5,15.764840126037598
PEG_non-BSA_r3,PEG_non-BSA,PEG,non-BSA,False,4.5,10.235343933105469
COOH_non-BSA_r1,COOH_non-BSA,COOH,non-BSA,False,4.5,10.281694412231445
COOH_non-BSA_r2,COOH_non-BSA,COOH,non-BSA,False,4.5,50.35212326049805
COOH_non-BSA_r3,COOH_non-BSA,COOH,non-BSA,False,4.5,33.465728759765625
PEG_BSA_control,PEG_BSA,PEG,BSA,True,4.5,14.422704696655273
COOH_non-BSA_control,COOH_non-BSA,COOH,non-BSA,True,4.5,14.359781265258789
COOH_BSA_control,COOH_BSA,COOH,BSA,True,4.5,-21.073270797729492
PEG_non-BSA_control,PEG_non-BSA,PEG,non-BSA,True,4.5,-8.138690948486328
PEG_BSA_r1,PEG_BSA,PEG,BSA,False,5.0,39.10103988647461
PEG_BSA_r2,PEG_BSA,PEG,BSA,False,5.0,31.55453872680664
PEG_BSA_r3,PEG_BSA,PEG,BSA,False,5.0,32.50715255737305
COOH_BSA_r1,COOH_BSA,COOH,BSA,False,5.0,34.53966522216797
COOH_BSA_r2,COOH_BSA,COOH,BSA,False,5.0,41.87669372558594
COOH_BSA_r3,COOH_BSA,COOH,BSA,False,5.0,34.48443603515625
PEG_non-BSA_r1,PEG_non-BSA,PEG,non-BSA,False,5.0,17.05864715576172
PEG_non-BSA_r2,PEG_non-BSA,PEG,non-BSA,False,5.0,17.02679443359375
PEG_non-BSA_r3,PEG_non-BSA,PEG,non-BSA,False,5.0,10.881564140319824
COOH_non-BSA_r1,COOH_non-BSA,COOH,non-BSA,False,5.0,13.62119197845459
COOH_non-BSA_r2,COOH_non-BSA,COOH,non-BSA,False,5.0,51.315040588378906
COOH_non-BSA_r3,COOH_non-BSA,COOH,non-BSA,False,5.0,33.6932373046875
PEG_BSA_control,PEG_BSA,PEG,BSA,True,5.0,12.271093368530273
COOH_BSA_control,COOH_BSA,COOH,BSA,True,5.0,-25.512683868408203
PEG_non-BSA_control,PEG_non-BSA,PEG,non-BSA,True,5.0,-7.969451427459717
COOH_non-BSA_control,COOH_non-BSA,COOH,non-BSA,True,5.0,15.774988174438477
PEG_BSA_r1,PEG_BSA,PEG,BSA,False,5.5,38.96944808959961
PEG_BSA_r3,PEG_BSA,PEG,BSA,False,5.5,30.750524520874023
PEG_BSA_r2,PEG_BSA,PEG,BSA,False,5.5,29.655853271484375
COOH_BSA_r1,COOH_BSA,COOH,BSA,False,5.5,31.638412475585938
COOH_BSA_r2,COOH_BSA,COOH,BSA,False,5.5,42.523597717285156
COOH_BSA_r3,COOH_BSA,COOH,BSA,False,5.5,36.458343505859375
PEG_non-BSA_r1,PEG_non-BSA,PEG,non-BSA,False,5.5,17.956079483032227
PEG_non-BSA_r2,PEG_non-BSA,PEG,non-BSA,False,5.5,16.80828857421875
PEG_non-BSA_r3,PEG_non-BSA,PEG,non-BSA,False,5.5,10.382147789001465
COOH_non-BSA_r1,COOH_non-BSA,COOH,non-BSA,False,5.5,13.557771682739258
COOH_non-BSA_r2,COOH_non-BSA,COOH,non-BSA,False,5.5,51.8720588684082
COOH_non-BSA_r3,COOH_non-BSA,COOH,non-BSA,False,5.5,38.79096221923828
