idx,series,ncc
14,0.4_BSA_PEG_control_r3,0.5346407890319824
26,0.4_BSA_PEG_control_r3,0.8033944368362427
38,0.4_BSA_PEG_control_r3,0.30128905177116394
50,0.4_BSA_PEG_control_r3,0.7700214385986328
62,0.4_BSA_PEG_control_r3,0.84284907579422
74,0.4_BSA_PEG_control_r3,0.6539536714553833
86,0.4_BSA_PEG_control_r3,0.9014785289764404
98,0.4_BSA_PEG_control_r3,0.9113017320632935
110,0.4_BSA_PEG_control_r3,0.9054310321807861
122,0.4_BSA_PEG_control_r3,0.9278395175933838
134,0.4_BSA_PEG_control_r3,0.9018304944038391
146,0.4_BSA_PEG_control_r3,0.9310014247894287
0,0.4_BSA_PEG_magnet_r1,0.5329182744026184
1,0.4_BSA_PEG_magnet_r1,0.5777256488800049
18,0.4_BSA_PEG_magnet_r1,0.554476261138916
30,0.4_BSA_PEG_magnet_r1,0.8876110315322876
42,0.4_BSA_PEG_magnet_r1,0.9005131721496582
54,0.4_BSA_PEG_magnet_r1,0.4687589406967163
66,0.4_BSA_PEG_magnet_r1,0.4536518454551697
78,0.4_BSA_PEG_magnet_r1,0.9164696931838989
90,0.4_BSA_PEG_magnet_r1,0.04238816350698471
102,0.4_BSA_PEG_magnet_r1,0.7090579867362976
114,0.4_BSA_PEG_magnet_r1,0.8945695161819458
126,0.4_BSA_PEG_magnet_r1,0.11070676147937775
138,0.4_BSA_PEG_magnet_r1,0.8496858477592468
2,0.4_BSA_PEG_magnet_r2,0.39754247665405273
3,0.4_BSA_PEG_magnet_r2,0.769207239151001
19,0.4_BSA_PEG_magnet_r2,0.42304205894470215
31,0.4_BSA_PEG_magnet_r2,0.5033226609230042
43,0.4_BSA_PEG_magnet_r2,0.9046359062194824
55,0.4_BSA_PEG_magnet_r2,0.4849998354911804
67,0.4_BSA_PEG_magnet_r2,0.4824270009994507
79,0.4_BSA_PEG_magnet_r2,0.8242426514625549
91,0.4_BSA_PEG_magnet_r2,0.744347333908081
103,0.4_BSA_PEG_magnet_r2,0.8840122222900391
115,0.4_BSA_PEG_magnet_r2,0.9317604303359985
127,0.4_BSA_PEG_magnet_r2,0.6099436283111572
139,0.4_BSA_PEG_magnet_r2,0.850495457649231
4,0.4_BSA_PEG_magnet_r3,0.5123281478881836
5,0.4_BSA_PEG_magnet_r3,0.5286146998405457
20,0.4_BSA_PEG_magnet_r3,0.8679319024085999
32,0.4_BSA_PEG_magnet_r3,0.6838217973709106
44,0.4_BSA_PEG_magnet_r3,0.6788145899772644
56,0.4_BSA_PEG_magnet_r3,0.7868278622627258
68,0.4_BSA_PEG_magnet_r3,0.6085789799690247
80,0.4_BSA_PEG_magnet_r3,0.7989734411239624
92,0.4_BSA_PEG_magnet_r3,0.6732996702194214
104,0.4_BSA_PEG_magnet_r3,0.8850424289703369
116,0.4_BSA_PEG_magnet_r3,0.8306373953819275
128,0.4_BSA_PEG_magnet_r3,0.28190410137176514
140,0.4_BSA_PEG_magnet_r3,0.5196325778961182
165,0.4_non-BSA_COOH_control_r1,0.9527318477630615
178,0.4_non-BSA_COOH_control_r1,0.5946180820465088
189,0.4_non-BSA_COOH_control_r1,0.6991395950317383
201,0.4_non-BSA_COOH_control_r1,0.9513991475105286
213,0.4_non-BSA_COOH_control_r1,0.94342440366745
225,0.4_non-BSA_COOH_control_r1,0.6792339086532593
237,0.4_non-BSA_COOH_control_r1,0.9538725018501282
249,0.4_non-BSA_COOH_control_r1,0.6653535962104797
261,0.4_non-BSA_COOH_control_r1,0.5163925886154175
273,0.4_non-BSA_COOH_control_r1,0.9561209678649902
285,0.4_non-BSA_COOH_control_r1,0.8532654047012329
297,0.4_non-BSA_COOH_control_r1,0.8745702505111694
166,0.4_non-BSA_COOH_control_r2,0.46674442291259766
177,0.4_non-BSA_COOH_control_r2,0.38505080342292786
190,0.4_non-BSA_COOH_control_r2,0.8864744901657104
202,0.4_non-BSA_COOH_control_r2,0.9312219023704529
214,0.4_non-BSA_COOH_control_r2,0.9826177358627319
226,0.4_non-BSA_COOH_control_r2,0.9771703481674194
238,0.4_non-BSA_COOH_control_r2,0.9844061732292175
250,0.4_non-BSA_COOH_control_r2,0.9927506446838379
262,0.4_non-BSA_COOH_control_r2,0.9817541241645813
274,0.4_non-BSA_COOH_control_r2,0.9843236207962036
286,0.4_non-BSA_COOH_control_r2,0.9851246476173401
298,0.4_non-BSA_COOH_control_r2,0.745557427406311
167,0.4_non-BSA_COOH_control_r3,0.9487308859825134
179,0.4_non-BSA_COOH_control_r3,0.9557810425758362
191,0.4_non-BSA_COOH_control_r3,0.4457888603210449
203,0.4_non-BSA_COOH_control_r3,0.9594319462776184
215,0.4_non-BSA_COOH_control_r3,0.9423472285270691
227,0.4_non-BSA_COOH_control_r3,0.49844393134117126
239,0.4_non-BSA_COOH_control_r3,0.9529597759246826
251,0.4_non-BSA_COOH_control_r3,0.9629648923873901
263,0.4_non-BSA_COOH_control_r3,0.9675118923187256
275,0.4_non-BSA_COOH_control_r3,0.5186999440193176
287,0.4_non-BSA_COOH_control_r3,0.4897061586380005
299,0.4_non-BSA_COOH_control_r3,0.5007905960083008
156,0.4_non-BSA_COOH_magnet_r1,0.5204002857208252
158,0.4_non-BSA_COOH_magnet_r1,0.8678942918777466
171,0.4_non-BSA_COOH_magnet_r1,0.9170628190040588
183,0.4_non-BSA_COOH_magnet_r1,0.9136090278625488
195,0.4_non-BSA_COOH_magnet_r1,0.9438385963439941
207,0.4_non-BSA_COOH_magnet_r1,0.93842613697052
219,0.4_non-BSA_COOH_magnet_r1,0.5341479778289795
