t,arm,agarose,bsa,coating,gap_b,mid_b,right_b
7.5,magnet,0.4,BSA,COOH,16.0,11.0,9.0
7.5,control,0.4,BSA,PEG,27.0,13.0,13.0
7.5,control,0.4,BSA,PEG,23.0,14.0,15.0
7.5,control,0.4,BSA,PEG,23.0,16.0,16.0
7.5,control,0.4,BSA,COOH,27.0,15.0,16.0
7.5,control,0.4,BSA,COOH,26.0,11.0,11.0
7.5,control,0.4,BSA,COOH,26.0,12.0,0.0
9.0,magnet,0.4,BSA,PEG,9.0,12.0,9.0
9.0,magnet,0.4,BSA,PEG,11.0,11.0,11.0
9.0,magnet,0.4,BSA,PEG,13.0,11.0,9.0
9.0,magnet,0.4,BSA,COOH,1.0,9.0,8.0
9.0,magnet,0.4,BSA,COOH,11.0,11.0,10.0
9.0,magnet,0.4,BSA,COOH,14.0,13.0,9.0
9.0,control,0.4,BSA,PEG,28.0,13.0,13.0
9.0,control,0.4,BSA,PEG,25.0,14.0,15.0
9.0,control,0.4,BSA,PEG,23.0,15.0,16.0
9.0,control,0.4,BSA,COOH,27.0,15.0,16.0
9.0,control,0.4,BSA,COOH,5.0,11.0,0.0
9.0,control,0.4,BSA,COOH,28.0,12.0,11.0
10.5,magnet,0.4,BSA,PEG,7.0,12.0,9.0
10.5,magnet,0.4,BSA,PEG,10.0,13.0,12.0
10.5,magnet,0.4,BSA,PEG,12.0,11.0,9.0
10.5,magnet,0.4,BSA,COOH,2.0,9.0,8.0
10.5,magnet,0.4,BSA,COOH,11.0,10.0,9.0
10.5,magnet,0.4,BSA,COOH,18.0,14.0,9.0
10.5,control,0.4,BSA,PEG,28.0,13.0,13.0
10.5,control,0.4,BSA,PEG,26.0,15.0,16.0
10.5,control,0.4,BSA,PEG,23.0,16.0,18.0
10.5,control,0.4,BSA,COOH,26.0,14.0,15.0
10.5,control,0.4,BSA,COOH,24.0,11.0,1.0
10.5,control,0.4,BSA,COOH,28.0,12.0,12.0
12.0,magnet,0.4,BSA,PEG,18.0,14.0,9.0
12.0,magnet,0.4,BSA,PEG,13.0,13.0,10.0
12.0,magnet,0.4,BSA,PEG,24.0,10.0,9.0
12.0,magnet,0.4,BSA,COOH,5.0,9.0,4.0
12.0,magnet,0.4,BSA,COOH,8.0,12.0,11.0
12.0,magnet,0.4,BSA,COOH,15.0,15.0,10.0
12.0,control,0.4,BSA,PEG,29.0,14.0,14.0
12.0,control,0.4,BSA,PEG,26.0,16.0,17.0
12.0,control,0.4,BSA,PEG,23.0,16.0,16.0
12.0,control,0.4,BSA,COOH,27.0,14.0,16.0
12.0,control,0.4,BSA,COOH,24.0,12.0,1.0
12.0,control,0.4,BSA,COOH,25.0,12.0,1.0
21.5,magnet,0.4,BSA,PEG,10.0,11.0,8.0
21.5,magnet,0.4,BSA,PEG,11.0,12.0,10.0
